Name,Address,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Description,Currency,Price Level,City,Country,State
Birdsong,"1085 Mission St., San Francisco, 94103, USA",Contemporary,-122.4103298,37.7795083,2 Stars,0,"Air conditioning,Counter dining,Interesting wine list,Wheelchair access","Live fire is of the essence at this high-ceilinged and elegantly appointed dining room. Chef Christopher Bleidorn's skill lies in his ability to combine the rugged appeal of flame-kissed meats with a delicate touch and palpable sense of whimsy. Look no further than the lacquered quail with grilled Parker House rolls and crunchy pickles to be assembled à la Peking duck. His team's impressive variety of techniques wring out every fleck of flavor from such pristine ingredients as creek trout, presented as roe with kelp kombucha sabayon; or ""tail end"" lox served on crispy skin.The playful and spontaneous spirit carries on until the end—with the possible arrival of tart blueberries and crème fraîche hidden beneath lemon mochi bites and a bee pollen-dusted tuile.",$,4,San Francisco,USA,California
Sushi Ginza Onodera,"609 N. La Cienega Blvd., West Hollywood, 90069, USA",Japanese,-118.3766888,34.082251,2 Stars,0,"Air conditioning,Notable sake list","Sushi Ginza Onodera has several outposts in Asia and the U.S. This West Hollywood outpost is a hive of activity; one that comes with a hefty price tag, though their strictly enforced no-tipping policy helps. The pacing can feel quick allowing little time to revel in the experience of this omakase.Delights abound in the array of courses, starting with morsels of braised octopus soaked in soy sauce and dressed with yuzu kosho; or an earthenware cup of chawanmushi topped with caviar and uni. The nigiri are a clear highlight here, revealing excellent quality product such as pen shell calm, cherry blossom salmon, and Hokkaido uni. The signature matcha and coconut panna cotta is a delectable finale.",$,4,West Hollywood,USA,California
Saison,"178 Townsend St., San Francisco, 94107, USA",Californian,-122.41543,37.76327,2 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","At once playful and profoundly earnest, this privileged playpen is adored by the Bay Area's elite. The studied cool of the kitchen extends to its crowd; and the striking warehouse setting, blends rusticity with refinement. Everything revolves around the roaring hearth.The kitchen is in steady hands and proffers an immersive experience. First, caviar cured with salt ""barbecued"" by the team, is wrapped in a seaweed bundle, then presented tableside before being set in a bowl of wilted, silken spinach and a seaweed-and-butter broth. Then, 18-day dry-aged antelope saddle medallion is an intriguing delight with jus made from bones and dried cherry leaf, thinly sliced preserved kumquat and a cup of bone broth to wash it all down.",$,4,San Francisco,USA,California
Lazy Bear,"3416 19th St., San Francisco, 94110, USA",Contemporary,-122.4196716,37.7602404,2 Stars,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","This dining spot is firmly rooted as part of San Franciso's dining landscape. The nightly tasting menu is served in a swanky, bi-level warehouse decked out like a mogul's hunting lodge. The menu has a sweeping creative scope, drawing on both nostalgia and current culinary trends with a confident swagger.Highlights include a trio of oysters, each gussied up in a different fashion: raw with pickled ramp foam and rhubarb; broiled à la Rockefeller, in a creamy green garlic glaçage; or fried with a spicy XO chili oil and tangy ranch. Bold flavors presented with flair are a common thread, like in a buttery A5 Wagyu ribeye paired with a sweet-and-savory oxtail and sour cherry tart, perfect lattice crust, and all.",$,4,San Francisco,USA,California
Californios,"355 11th St., San Francisco, 94103, USA",Mexican,-122.4131414,37.7712406,2 Stars,0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","Chef Val M. Cantú's Californios is a divine dining temple where a passionate focus on heritage is applied with masterful technique. The foundational elements of Mexican cuisine are elevated here through the team's ingenuity and the utilization of the finest products. Familiar dishes are turned complex and deliciously unique. Lime cured cold-smoked hamachi is presented with a sweet lime aguachile with pickled buddha's hand and cold pressed cilantro, then beer- and mezcal-battered black cod in a sour cherry tamarind salsa makes a nice addition to a tortilla. The attractive space, with its dark walls, colorful artwork and lively playlist, keeps things more festive than hallowed. The patio area is especially pleasant.",$,4,San Francisco,USA,California
Mélisse,"1104 Wilshire Blvd., Santa Monica, 90401, USA",Modern French,-118.4915829,34.0245412,2 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","Chef Josiah Citrin's flagship celebrates a certain kind of fine dining experience that will never go out of style. Slip in through a discreet side entrance to enter the enclosed space within Citrin, a private room that combines a vibe-y underground feel with classic luxury. The kitchen employs bold flavors and decadent sauces, blending French traditions with a bit of contemporary whimsy. The results are both eye-catching and indulgent, from intricate canapés to a knockout dish of duck “Rouennaise,” featuring a decadent sauce made with the help of an antique silver press; on the side, “ducks in a duvet” is a swanky take on pigs in a blanket. Service is engaging and full of charm, down to a wine program offering surprising rarities at a reasonable expense.",$,4,Santa Monica,USA,California
Harbor House,"5600 CA-1, Elk, 95432, USA",Californian,-123.7190639,39.1355655,2 Stars,1,"Air conditioning,Car park,Great view,Interesting wine list,Terrace,Wheelchair access","Veering off into the wilds of Mendocino County is certainly a most delightful detour—one that culminates in the dining room of the Harbor House Inn.Driven by impeccable technique and devotion to sustainability, the cooking is highly original. Chef Matthew Kammerer is devout when it comes to hyper-local and foraged ingredients, elevating not only delicacies like sea urchin, but also more humble items like seaweed harvested from the nearby coastline, or lace lichen plucked from overhanging trees. Compelling, Japanese-accented creations have included a sake-poached abalone paired with a luscious sauce made from its liver. Fantastic sourdough is flecked with sea lettuce, and kombu flavors a silky ice cream with coffee, lavender and honey—an ingenious union of sweet and savory tastes.",$,4,Elk,USA,California
Hiden,"313 NW. 25th St., Miami, 33127, USA",Japanese,-80.2012828,25.8008242,1 Star,0,"Air conditioning,Counter dining","True to its name, this favored counter is indeed hidden in the thick of busy Wynwood. The front door is not easy to find and slides open only with a time-sensitive passcode. But beyond the hustle and bustle, Chef Seijun Okano offers a mature, finely tuned omakase for the fortunate few seated at his counter. Fish flown in multiple times a week from Japan are handled with precision, sliced carefully and pressed into lush, vinegar-tinged rice that he makes at the start. Everyone is encouraged to ask questions and drink freely. All the while, the team works in perfect tandem, delivering a well-paced sushi experience to the tune of an upbeat playlist. In the end, diners emerge from the secret room wondering if those around them know what they’ve missed.",$,4,Miami,USA,Florida
Ebbe,"1202 N. Franklin St., Tampa, 33602, USA",Contemporary,-82.4602915,27.9536143,1 Star,0,"Air conditioning,Wheelchair access","Chef Ebbe Vollmer's eponymous downtown dweller isn't your typical Tampa restaurant. Sleek and contemporary with a space dominated by a U-shaped marble bar, it's hyper-focused with just one tasting menu. Scandinavian elements make their way onto the dishes here, hinting at the chef's Swedish background, and the cooking is both clever and confident without superfluous fuss. Artful plating takes center stage in dishes like the beet roulade with a brown butter and black cherry sauce. Fermented white asparagus beurre monté and sautéed spinach make a beautiful base for tender turbot that comes alive with a quenelle of sturgeon caviar. Braised oxtail with seared foie gras and a brunoise of sunchoke is equally rich and tender.",$,4,Tampa,USA,Florida
Ogawa,"7223 NW. 2nd Ave., Miami, 33150, USA",Japanese,-80.2006503,25.8414428,1 Star,0,"Air conditioning,Car park,Counter dining","In a nod to the Little River neighborhood that it calls home, Ogawa translates to ""small river."" Chef/co-owner Masayuki Komatsu commands a presence with an omakase that stuns with a series of enticing cooked dishes and a procession of focused and skillful nigiri. From baby sea eels with a soy-cured quail egg and bigfin reef squid in a shiso-miso sauce to baby snow crab and Japanese-style herring roe, this appetizer of four bites is the first sign that this isn't your typical sushi counter. Then, lotus root, wild yam and langoustine tempura is sided by a thick sauce made from roasted langoustine shells. After the cooked dishes, nigiri comes next with bright and balanced kisu, creamy ebodai, squid topped with osetra caviar and anago dusted with sansho pepper exemplifying the chef's skill.",$,4,Miami,USA,Florida
